feature_name,Scaler_center,Scaler_scale,Q1_Coef_age,Q1_Coef_age2,Q1_Intercept,Q5_Coef_age,Q5_Coef_age2,Q5_Intercept,Q25_Coef_age,Q25_Coef_age2,Q25_Intercept,Q50_Coef_age,Q50_Coef_age2,Q50_Intercept,Q75_Coef_age,Q75_Coef_age2,Q75_Intercept,Q95_Coef_age,Q95_Coef_age2,Q95_Intercept,Q99_Coef_age,Q99_Coef_age2,Q99_Intercept,MAE_norm,quantile
A2009-ctx-rh-S_oc-temp_med_and_Lingual_GrayVol,3052.0,584.0,-0.021810547788191158,0.00011805932168469638,-0.5922407254777634,-0.008330986954749035,-3.165596618267927e-05,-0.5028620159025755,-5.99919561047552e-05,-0.00017263049779547423,-0.031232821264784733,-0.012836695534966544,-6.39015928401201e-05,0.7431735931254633,-0.01574807619208947,-6.514042386223156e-05,1.3431025647825543,-0.01987139756028814,-4.941696091688496e-05,2.2666284204426375,-0.03424139045398572,-2.101113636367107e-05,3.4210263981289053,0.541337467887321,25.0
A2009-ctx-rh-S_oc-temp_med_and_Lingual_ThickAvg,2.32,0.20000000000000018,-0.01668019121851746,-6.768661455052139e-06,-0.8521248795050524,-0.01827167779620891,-6.823047367898621e-05,-0.10775764535749059,-0.02427622211675372,2.636713600168836e-05,0.5902955755945799,-0.024798774841512956,1.5025108625970948e-05,1.1013971625917092,-0.03434595772678671,0.0001062313238479042,1.7761917098445583,-0.05370525557080076,0.0002607920697500731,2.9933473761224074,-0.03967618983345319,0.0001541300771589108,3.1317914532525357,0.5474123730827809,50.0
A2009-ctx-rh-S_oc-temp_med_and_Lingual_ThickStd,0.503,0.08800000000000002,-0.020077859763083496,0.00019051072641083067,-0.8260165389587861,-0.03879767358586363,0.00039410316006914276,-0.08585109731410934,-0.037377174304567475,0.00037883577514648286,0.3915360602959995,-0.02975077535776306,0.0002970159730321183,0.6764775424762061,-0.03846691276983078,0.0004227641668776382,1.3286181893429017,-0.03909486872882515,0.00041909601878449245,2.3146479256292345,-0.06717448291419369,0.0006330957387687084,3.7240797856203858,0.5885439907881372,50.0
A2009-ctx-rh-S_orbital_lateral_GrayVol,622.0,204.0,-0.031889891451874305,0.0002658535943884459,-0.5653264527040638,-0.017116530156366386,9.251619452661933e-05,-0.42708345352053373,-0.013053315642251448,1.5224892860602141e-05,0.12282932409530732,-0.02378030440997115,0.00011209803369701403,0.8427971667135755,-0.0323113837033485,0.00016069926653126477,1.654289133488599,-0.007378186494067514,-0.00013164653772301343,2.0267009444263553,-0.02351814593680869,1.0841866456819736e-05,3.2107544640492476,0.5855667961308215,95.0
A2009-ctx-rh-S_orbital_lateral_ThickAvg,2.099,0.2829999999999999,-0.007846591605548002,6.544551850399944e-05,-1.3593668712037075,-0.03342163660184874,0.00028116105854621897,-0.2439225634985334,-0.038575469638946154,0.0003074228399975368,0.6103124929566526,-0.049548498289980904,0.00039447803801317044,1.389360501986014,-0.046792532309449304,0.00036092978054487696,1.8160682549663254,-0.08648784338915548,0.0007777747021582227,3.5049694849223094,-0.06307259986380037,0.0004455489039079517,3.6733396489949084,0.5820103878490499,75.0
A2009-ctx-rh-S_orbital_lateral_ThickStd,0.438,0.11499999999999999,0.013629344152781369,-0.0001971202546725874,-1.510158016535307,-0.015663906800228316,9.615437331598028e-05,-0.4552422717068458,-0.02540700051824911,0.00018258988998685741,0.3005225788252577,-0.037589980897936755,0.0002789216401095528,1.082160327266084,-0.063369683367826,0.0005265662626104987,2.237843733685625,-0.07026419557214095,0.0005730558784697933,3.3847572122288145,-0.13053264626117492,0.0010659174377448536,5.909825963055203,0.5987798152662919,25.0
A2009-ctx-rh-S_orbital_med-olfact_GrayVol,1100.0,205.0,0.031483716448211685,-0.0003700689097416486,-2.173295162180621,0.013411444824345368,-0.00022850403378785826,-1.2136245888784665,-0.0009123287267566893,-0.00013358989771494414,-0.12043066997785187,-0.021054873606666576,3.817370534274888e-05,0.8789813131417107,-0.030494618614209493,0.00012905205666810692,1.5847256619876606,-0.022262931118964838,1.3685092158774156e-05,2.3200507823616423,-0.027125549844175242,1.9510993130842583e-05,2.9948572554024113,0.5725669172433113,75.0
A2009-ctx-rh-S_orbital_med-olfact_ThickAvg,2.228,0.20100000000000007,-0.0014263174311290058,-0.00013799139525228054,-1.200279392107237,-0.0200892472626248,9.27783205378023e-05,-0.4553893014646273,-0.022832211869808938,0.00010700836371021622,0.2945288943692688,-0.02471395756238923,0.00012563300973587033,0.8475183086281399,-0.05150688687812424,0.0003929146276662053,1.941769625356499,-0.0864720692356334,0.0008148858983847134,3.3792495421706867,-0.051280765099318976,0.00035066071135958173,3.654048361267803,0.5920879563657307,50.0
A2009-ctx-rh-S_orbital_med-olfact_ThickStd,0.594,0.11199999999999999,-0.001125166684804521,-2.944660481531442e-05,-1.42133119950639,0.019840649426122133,-0.0002542188895820536,-1.4912210636256762,-0.009734686296048829,6.787526124458907e-05,-0.2054578020666342,-0.02710112199490806,0.0002666737249531178,0.6267815679210884,-0.02755499977956003,0.0002504999979960006,1.1833577320331383,-0.03443544211404477,0.00027918779560851567,2.293881699867326,-0.05168924294864226,0.0003493356406890325,3.56079547827905,0.598332688900002,50.0
A2009-ctx-rh-S_orbital-H_Shaped_GrayVol,2674.0,471.0,0.10545684497216963,-0.0012971217965529016,-3.512620956547325,0.03003436801664972,-0.00045495867897143305,-1.4639364156989716,-0.01695548011506729,4.906941843973189e-05,0.2104833036646323,-0.025795473772469147,9.088841718048708e-05,0.9740967601292748,-0.035912116639403545,0.00017291633978084195,1.714818408698829,-0.04573443888771256,0.0002463219857939891,2.6620395793232148,-0.0679241871168114,0.00047930775325127206,3.635418627030762,0.546827081465776,25.0
A2009-ctx-rh-S_orbital-H_Shaped_ThickAvg,2.649,0.31400000000000006,-0.025103480869015402,0.00024068488359273312,-0.8429671147391853,-0.01709934489734311,0.0001047885488285855,-0.5501373563247992,-0.04060436087219337,0.0003297920981175378,0.6154123674901786,-0.04397577037413476,0.00034736683739883966,1.1996659466863766,-0.04399863578996571,0.00035400768332250057,1.6893706104930244,-0.06053118847554623,0.0005807340036999951,2.5731820836150243,-0.046232170742364825,0.00041571846381234105,2.8202679923651788,0.5562057723438689,95.0
A2009-ctx-rh-S_orbital-H_Shaped_ThickStd,0.622,0.1090000000000001,-0.04952495760949919,0.00044166666804197884,-0.1650339040912758,-0.05136093071420089,0.0004748396506221484,0.2264589183190756,-0.06618389709331801,0.0006605222938021858,1.036580700276155,-0.07306603378839806,0.0007357608434835215,1.6683442256923964,-0.07404866919296306,0.0007790937941823864,2.077748600477986,-0.08587218310856258,0.0009223194367110723,3.232073001477328,-0.07699947613224631,0.000877208610739402,3.572299103649896,0.576445656824054,75.0
A2009-ctx-rh-S_parieto_occipital_GrayVol,3047.0,726.0,0.01740962922909609,-0.00022084994750215458,-1.7108894685654243,-0.004887564882110221,-4.7475674947503305e-05,-0.7494205878511885,-0.012698302200324247,-2.0070941844614526e-05,0.161214045691719,-0.028391062239480187,0.00012216191670781716,1.0296896316161819,-0.030082337410137338,9.8708849748593e-05,1.664150383323259,-0.051809813206694755,0.0002512841561259345,3.0086392303716893,-0.10284502030153934,0.0007788176928124801,4.641764133170938,0.5718184284801688,75.0
A2009-ctx-rh-S_parieto_occipital_ThickAvg,2.092,0.21599999999999997,-0.036522130277801663,0.00013558601164469122,-0.05055176654919758,-0.03195002938301567,0.00011863375438906044,0.17004387446618485,-0.045162695040500085,0.00021847355802329557,1.1216032592417582,-0.04843928177504064,0.00025654086966924567,1.6164349897250878,-0.06731259715681771,0.0004610008836498376,2.4734460168434294,-0.08983877188027237,0.0006727721285298247,3.6784742958485044,-0.10200866125071995,0.0007576185750567304,4.526264313994727,0.5282568151815722,75.0
A2009-ctx-rh-S_parieto_occipital_ThickStd,0.51,0.06800000000000006,-0.04019586772238877,0.0003955817162337456,-0.707481240843272,-0.009814264191278966,2.253891290652321e-05,-0.751267727486932,-0.035796123845267536,0.00030492811993597954,0.4653089595382964,-0.041975242511312884,0.00036797898387897187,1.0841927273617948,-0.05777722580775172,0.000525547035675585,1.942113252327777,-0.06930456435056925,0.0006281430527295289,3.1383294578311878,-0.14792854962816374,0.001358321934503225,5.798151128310235,0.6055947637911111,5.0
A2009-ctx-rh-S_pericallosal_GrayVol,1436.0,344.0,-0.009485248107446224,3.473427557199993e-05,-1.0176697779840906,-0.005102862451810566,-1.8519915536812413e-06,-0.8583239029803548,-0.0077354771610689006,-1.9743642009873165e-05,-0.0823131197692787,-0.008521985752392118,-3.978889603320468e-06,0.39203024433565287,-0.008239412889838819,-4.361301547199048e-05,1.0082304753104074,-0.023789403468600426,4.6579090159964824e-05,2.7178649296907396,-0.12365536935351229,0.000940913767152863,6.765349006216831,0.6616124888348859,25.0
A2009-ctx-rh-S_pericallosal_ThickAvg,1.626,0.21199999999999997,-0.02406623199691899,0.00017220522791319513,-0.4919433402385076,-0.031379883940518626,0.00020619386364256515,0.03608026964894603,-0.024298690381302855,0.00013093651127243819,0.37692748448578317,-0.02454615562408504,0.0001570261561142834,0.7444976408020688,-0.03508071278825999,0.00024141771488469645,1.6178325864779883,-0.05660999746510739,0.0004112824586327645,3.3206226281023694,-0.03575896125221721,5.828703215392884e-05,4.058651044642798,0.613387733471988,50.0
A2009-ctx-rh-S_pericallosal_ThickStd,0.549,0.15400000000000003,-0.012839529311996362,0.00013663904486922913,-0.9021834037960736,-0.008759992937208057,7.610767104437928e-05,-0.7087100663050049,-0.010796671423765145,7.664084068379477e-05,-0.15226475600774017,-0.024692172545257348,0.00022456092621322347,0.6168079428343111,-0.041554576376005,0.00041824191082951253,1.4678805964924573,-0.04307285822004474,0.000399464596458756,2.4596946629737557,-0.06500824396737549,0.0006953159890580062,3.321657584173548,0.5794210404918324,25.0
