feature_name,MAE_norm,Norm_Coeff_age,Norm_Coeff_age2,Norm_Intercept,Scaler_center,Scaler_scale,mean
A2009-ctx-lh-G_temp_sup-Lateral_ThickAvg,0.573046112104909,-0.00787043146569658,-8.24877810992874E-05,0.569498312151932,3.053,0.284,-0.224172523679236
A2009-ctx-lh-G_temp_sup-Lateral_ThickStd,0.571634639671724,-0.0387161696912401,0.000338680159606218,0.996695333674179,0.63,0.102,-2.33039768505286
A2009-ctx-lh-G_temp_sup-Plan_polar_GrayVol,0.573258248862814,-0.0151163035338684,-2.99830945148371E-05,0.804576075120715,2006,435,-1.57753452982674
A2009-ctx-lh-G_temp_sup-Plan_polar_ThickAvg,0.589525886893837,0.0149963137189234,-0.000286981510757754,-0.0635953470166118,3.35,0.333,-1.10763983002571
A2009-ctx-lh-G_temp_sup-Plan_polar_ThickStd,0.598312579013168,-0.00701164936570478,5.07643523914154E-05,0.217992323406578,0.703,0.15,-0.0595646405108094
A2009-ctx-lh-G_temp_sup-Plan_tempo_GrayVol,0.581772637516533,-0.0118253615225143,-1.5890277806921E-05,0.571674574363021,1960,585,0.439509474311026
A2009-ctx-lh-G_temp_sup-Plan_tempo_ThickAvg,0.534436671019676,-0.0196653538594533,-3.20215860691651E-05,0.965198955142015,2.502,0.272,0.578435353881789
A2009-ctx-lh-G_temp_sup-Plan_tempo_ThickStd,0.596149097171973,-0.0648892808374962,0.000660083479563456,1.45358722418596,0.512,0.094,-2.0289211075105
A2009-ctx-lh-G_temporal_inf_GrayVol,0.585028424081927,-0.0160820217145785,3.10997233015618E-05,0.669700695918334,7860,1639,-0.512558034059574
A2009-ctx-lh-G_temporal_inf_ThickAvg,0.589910474018224,-0.0160605536367315,2.36255755004084E-05,0.682611018202458,2.915,0.243,-0.33158249844112
A2009-ctx-lh-G_temporal_inf_ThickStd,0.59729260084936,-0.0525378646154314,0.000523459024634378,1.21545458787694,0.721,0.085,-2.00736672033338
A2009-ctx-lh-G_temporal_middle_GrayVol,0.526071542621371,-0.0281654571203165,4.8126241991264E-05,1.18834265213738,8098,1620,-1.06713767414395
A2009-ctx-lh-G_temporal_middle_ThickAvg,0.576810165930431,-0.0490469696685651,0.000279185081586538,1.60098631564594,3.03,0.209,-0.816289825250035
A2009-ctx-lh-G_temporal_middle_ThickStd,0.587031005101269,-0.0960468641227122,0.000957639038774353,2.24025533861386,0.606,0.0870000000000001,-0.395047698840558
A2009-ctx-lh-Lat_Fis-ant-Horizont_GrayVol,0.593086689299832,-0.0110178241274494,-4.7927487556159E-05,0.579805257592682,423,117,-0.302726526915591
A2009-ctx-lh-Lat_Fis-ant-Horizont_ThickAvg,0.601115357538693,-0.0492809367672766,0.000384793645483636,1.37414027130341,2.148,0.31,0.117712728904944
A2009-ctx-lh-Lat_Fis-ant-Horizont_ThickStd,0.611063079710659,-0.0286659948424834,0.000263120241292713,0.719775567173945,0.404,0.108,1.33353028043889
A2009-ctx-lh-Lat_Fis-ant-Vertical_GrayVol,0.595975162072431,-0.0212818338335172,7.53655271992942E-05,0.780507265782359,468,169,-0.00331534354939925
A2009-ctx-lh-Lat_Fis-ant-Vertical_ThickAvg,0.559947166195945,-0.0401474444858446,0.000227970671971011,1.30605266736725,2.266,0.323,1.352875408358
A2009-ctx-lh-Lat_Fis-ant-Vertical_ThickStd,0.593205204863817,-0.0256532197284361,0.000248995791202223,0.617060250859827,0.432,0.12,0.559906568012746
A2009-ctx-lh-Lat_Fis-post_GrayVol,0.595016051875144,-0.0150590615185364,2.00032773112126E-05,0.640110439961593,1415,247,-0.277139754508641
A2009-ctx-lh-Lat_Fis-post_ThickAvg,0.52834480514474,-0.0460720006938624,0.000189746096309551,1.68726048249703,2.279,0.235,-1.20194748754892
A2009-ctx-lh-Lat_Fis-post_ThickStd,0.595487549302528,-0.0181152531830236,0.000216252133486942,0.32090397707831,0.492,0.081,-1.84826271730755
A2009-ctx-lh-Pole_occipital_GrayVol,0.609538829513552,-0.0098008033496621,3.88168023334572E-05,0.363342423067857,3777,749,2.14224375062542
A2009-ctx-lh-Pole_occipital_ThickAvg,0.605479968805179,-0.00869312255326132,0.000110151033739324,0.133343300223813,2.101,0.222,1.95513028744329
A2009-ctx-lh-Pole_occipital_ThickStd,0.561012954430114,-0.00450739964508848,0.000136289144623502,-0.109109894240346,0.743,0.168,1.11588234287883
A2009-ctx-lh-Pole_temporal_GrayVol,0.611209881222349,-0.0094849756412606,-1.31547655597851E-05,0.47920662991843,5397,851,-0.63477783578333
